instance_id,family,benchmark,tier,arithmetic,certified_positive,certified_lb_float,notes
"dc_cnn22","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.15087732672691345","structural: margin>=B=0.1509; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn23","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.15087732672691345","structural: margin>=B=0.1509; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn24","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.15087732672691345","structural: margin>=B=0.1509; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn25","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.15087732672691345","structural: margin>=B=0.1509; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn26","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.2020794153213501","structural: margin>=B=0.2021; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn27","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.11228736490011215","structural: margin>=B=0.1123; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn28","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.11228736490011215","structural: margin>=B=0.1123; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn29","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.11228736490011215","structural: margin>=B=0.1123; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn3","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.15087732672691345","structural: margin>=B=0.1509; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn30","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.11228736490011215","structural: margin>=B=0.1123; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn31","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.15087732672691345","structural: margin>=B=0.1509; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn32","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.15087732672691345","structural: margin>=B=0.1509; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn33","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.15087732672691345","structural: margin>=B=0.1509; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn34","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.15087732672691345","structural: margin>=B=0.1509; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn35","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.15087732672691345","structural: margin>=B=0.1509; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn36","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.11228736490011215","structural: margin>=B=0.1123; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn37","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.11228736490011215","structural: margin>=B=0.1123; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn38","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.11228736490011215","structural: margin>=B=0.1123; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn39","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.11228736490011215","structural: margin>=B=0.1123; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn4","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.08200962841510773","structural: margin>=B=0.08201; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=8"
"dc_cnn40","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.11228736490011215","structural: margin>=B=0.1123; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn41","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.07023081183433533","structural: margin>=B=0.07023; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn42","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.08385706692934036","structural: margin>=B=0.08386; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn43","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.15087732672691345","structural: margin>=B=0.1509; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn44","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.1611468344926834","structural: margin>=B=0.1611; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn45","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.23673692345619202","structural: margin>=B=0.2367; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn46","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.05120024457573891","structural: margin>=B=0.0512; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn47","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.09617111831903458","structural: margin>=B=0.09617; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn48","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.11228736490011215","structural: margin>=B=0.1123; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn49","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.18912126123905182","structural: margin>=B=0.1891; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn5","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.08543754369020462","structural: margin>=B=0.08544; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=10"
"dc_cnn50","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.2851124107837677","structural: margin>=B=0.2851; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn6","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.17196117341518402","structural: margin>=B=0.172; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=2"
"dc_cnn7","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.14556941390037537","structural: margin>=B=0.1456; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=4"
"dc_cnn8","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.11228736490011215","structural: margin>=B=0.1123; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=6"
"dc_cnn9","cnn.deep_contractive_cnn","sweep_all","exact-rational","exact_rational","True","0.07862482964992523","structural: margin>=B=0.07862; paper's l2-contraction cert not re-verified here (cheap induced-norm bound is loose for conv operators); positivity is structural and contraction-independent, depth=8"
"ep1","mlp_relu.embedded_projection","sweep_all","exact-rational","exact_rational","True","0.8317438093867329","exact IBP over full net; projection box-width=1.19e-08"
"ep2","mlp_relu.embedded_projection","sweep_all","exact-rational","exact_rational","True","0.8317438093867329","exact IBP over full net; projection box-width=1.19e-08"
"ep3","mlp_relu.embedded_projection","sweep_all","exact-rational","exact_rational","True","0.8317438093867329","exact IBP over full net; projection box-width=1.19e-08"
"ep4","mlp_relu.embedded_projection","sweep_all","exact-rational","exact_rational","True","0.8317438093867329","exact IBP over full net; projection box-width=1.19e-08"
"ep5","mlp_relu.embedded_projection","sweep_all","exact-rational","exact_rational","True","0.8317438093867329","exact IBP over full net; projection box-width=1.19e-08"
"fp1","attention.fixed_pattern","sweep_all","validated-interval","interval_mpmath","True","0.28986244591873905","direct mpmath.iv box enclosure (prec=200 bits)"
"fp10","attention.fixed_pattern","sweep_all","validated-interval","interval_mpmath","True","0.5773481556315723","direct mpmath.iv box enclosure (prec=200 bits)"
"fp11","attention.fixed_pattern","sweep_all","validated-interval","interval_mpmath","True","0.7613447417360796","direct mpmath.iv box enclosure (prec=200 bits)"
"fp12","attention.fixed_pattern","sweep_all","validated-interval","interval_mpmath","True","0.8411820043665884","direct mpmath.iv box enclosure (prec=200 bits)"
"fp13","attention.fixed_pattern","sweep_all","validated-interval","interval_mpmath","True","31.57380427370753","direct mpmath.iv box enclosure (prec=200 bits)"
"fp14","attention.fixed_pattern","sweep_all","validated-interval","interval_mpmath","True","12.018791570765636","direct mpmath.iv box enclosure (prec=200 bits)"
"fp15","attention.fixed_pattern","sweep_all","validated-interval","interval_mpmath","True","6.152287378413342","direct mpmath.iv box enclosure (prec=200 bits)"
"fp16","attention.fixed_pattern","sweep_all","validated-interval","interval_mpmath","True","5.506971731288098","direct mpmath.iv box enclosure (prec=200 bits)"
"fp17","attention.fixed_pattern","sweep_all","validated-interval","interval_mpmath","True","5.500518694026135","direct mpmath.iv box enclosure (prec=200 bits)"
"fp2","attention.fixed_pattern","sweep_all","validated-interval","interval_mpmath","True","0.5806488142641228","direct mpmath.iv box enclosure (prec=200 bits)"
"fp3","attention.fixed_pattern","sweep_all","validated-interval","interval_mpmath","True","5.956483701892962","direct mpmath.iv box enclosure (prec=200 bits)"
"fp4","attention.fixed_pattern","sweep_all","validated-interval","interval_mpmath","True","2.363472335006041","direct mpmath.iv box enclosure (prec=200 bits)"
"fp5","attention.fixed_pattern","sweep_all","validated-interval","interval_mpmath","True","5.7902768334332855","direct mpmath.iv box enclosure (prec=200 bits)"
"fp6","attention.fixed_pattern","sweep_all","validated-interval","interval_mpmath","True","11.32493463890468","direct mpmath.iv box enclosure (prec=200 bits)"
"fp7","attention.fixed_pattern","sweep_all","validated-interval","interval_mpmath","True","0.004297593620608056","direct mpmath.iv box enclosure (prec=200 bits)"
"fp8","attention.fixed_pattern","sweep_all","validated-interval","interval_mpmath","True","0.1680167013988406","direct mpmath.iv box enclosure (prec=200 bits)"
"fp9","attention.fixed_pattern","sweep_all","validated-interval","interval_mpmath","True","1.7248692501419918","direct mpmath.iv box enclosure (prec=200 bits)"
"ld1","attention.linear_dominance","sweep_all","validated-interval","interval_mpmath","True","0.0925962598930472","direct mpmath.iv box enclosure (prec=200 bits)"
"ld10","attention.linear_dominance","sweep_all","validated-interval","interval_mpmath","True","0.2843800258082934","direct mpmath.iv box enclosure (prec=200 bits)"
"ld11","attention.linear_dominance","sweep_all","validated-interval","interval_mpmath","True","0.28528226188921846","direct mpmath.iv box enclosure (prec=200 bits)"
"ld12","attention.linear_dominance","sweep_all","validated-interval","interval_mpmath","True","0.33035893594728494","direct mpmath.iv box enclosure (prec=200 bits)"
"ld13","attention.linear_dominance","sweep_all","validated-interval","interval_mpmath","True","0.27515789644935734","direct mpmath.iv box enclosure (prec=200 bits)"
"ld14","attention.linear_dominance","sweep_all","validated-interval","interval_mpmath","True","0.2707668334391192","direct mpmath.iv box enclosure (prec=200 bits)"
"ld15","attention.linear_dominance","sweep_all","validated-interval","interval_mpmath","True","0.27684776775551284","direct mpmath.iv box enclosure (prec=200 bits)"
"ld16","attention.linear_dominance","sweep_all","validated-interval","interval_mpmath","True","0.1052968261686633","direct mpmath.iv box enclosure (prec=200 bits)"
"ld17","attention.linear_dominance","sweep_all","validated-interval","interval_mpmath","True","0.2645403687552124","direct mpmath.iv box enclosure (prec=200 bits)"
"ld18","attention.linear_dominance","sweep_all","validated-interval","interval_mpmath","True","0.6130596317644057","direct mpmath.iv box enclosure (prec=200 bits)"
"ld2","attention.linear_dominance","sweep_all","validated-interval","interval_mpmath","True","0.26476458918056345","direct mpmath.iv box enclosure (prec=200 bits)"
"ld3","attention.linear_dominance","sweep_all","validated-interval","interval_mpmath","True","0.4798025969680923","direct mpmath.iv box enclosure (prec=200 bits)"
"ld4","attention.linear_dominance","sweep_all","validated-interval","interval_mpmath","True","0.06399248504467567","direct mpmath.iv box enclosure (prec=200 bits)"
"ld5","attention.linear_dominance","sweep_all","validated-interval","interval_mpmath","True","0.1663207855207499","direct mpmath.iv box enclosure (prec=200 bits)"
"ld6","attention.linear_dominance","sweep_all","validated-interval","interval_mpmath","True","0.5500519719106729","direct mpmath.iv box enclosure (prec=200 bits)"
"ld7","attention.linear_dominance","sweep_all","validated-interval","interval_mpmath","True","0.19933612021939925","direct mpmath.iv box enclosure (prec=200 bits)"
"ld8","attention.linear_dominance","sweep_all","validated-interval","interval_mpmath","True","0.2954988466519833","direct mpmath.iv box enclosure (prec=200 bits)"
"ld9","attention.linear_dominance","sweep_all","validated-interval","interval_mpmath","True","0.40530061192546923","direct mpmath.iv box enclosure (prec=200 bits)"
"meap1","mlp_relu.meap","sweep_all","exact-rational","exact_rational","True","0.0010000000474974513","P=2, lb=gamma (f_label>=gamma pointwise)"
"meap10","mlp_relu.meap","sweep_all","exact-rational","exact_rational","True","9.999999747378752e-05","P=16, lb=gamma (f_label>=gamma pointwise)"
"meap11","mlp_relu.meap","sweep_all","exact-rational","exact_rational","True","9.999999747378752e-06","P=16, lb=gamma (f_label>=gamma pointwise)"
"meap12","mlp_relu.meap","sweep_all","exact-rational","exact_rational","True","1.0","P=16, lb=gamma (f_label>=gamma pointwise)"
"meap13","mlp_relu.meap","sweep_all","exact-rational","exact_rational","True","0.0010000000474974513","P=2, lb=gamma (f_label>=gamma pointwise)"
"meap14","mlp_relu.meap","sweep_all","exact-rational","exact_rational","True","100.0","P=16, lb=gamma (f_label>=gamma pointwise)"
"meap2","mlp_relu.meap","sweep_all","exact-rational","exact_rational","True","0.0010000000474974513","P=16, lb=gamma (f_label>=gamma pointwise)"
"meap3","mlp_relu.meap","sweep_all","exact-rational","exact_rational","True","0.0010000000474974513","P=32, lb=gamma (f_label>=gamma pointwise)"
"meap4","mlp_relu.meap","sweep_all","exact-rational","exact_rational","True","0.0010000000474974513","P=128, lb=gamma (f_label>=gamma pointwise)"
"meap5","mlp_relu.meap","sweep_all","exact-rational","exact_rational","True","0.0010000000474974513","P=16, lb=gamma (f_label>=gamma pointwise)"
"meap6","mlp_relu.meap","sweep_all","exact-rational","exact_rational","True","0.0010000000474974513","P=16, lb=gamma (f_label>=gamma pointwise)"
"meap7","mlp_relu.meap","sweep_all","exact-rational","exact_rational","True","0.0010000000474974513","P=16, lb=gamma (f_label>=gamma pointwise)"
"meap8","mlp_relu.meap","sweep_all","exact-rational","exact_rational","True","0.0010000000474974513","P=16, lb=gamma (f_label>=gamma pointwise)"
"meap9","mlp_relu.meap","sweep_all","exact-rational","exact_rational","True","0.0010000000474974513","P=16, lb=gamma (f_label>=gamma pointwise)"
"milp1","mlp_relu.milp.exact_radius","sweep_all","inconclusive","inconclusive","False","None","exact-rational IBP + box-BaB too loose for this near-boundary MILP instance; robustness at eps<r* rests on the exact-radius MILP (complete)"
"milp10","mlp_relu.milp.exact_radius","sweep_all","inconclusive","inconclusive","False","None","exact-rational IBP + box-BaB too loose for this near-boundary MILP instance; robustness at eps<r* rests on the exact-radius MILP (complete)"
"milp11","mlp_relu.milp.exact_radius","sweep_all","inconclusive","inconclusive","False","None","exact-rational IBP + box-BaB too loose for this near-boundary MILP instance; robustness at eps<r* rests on the exact-radius MILP (complete)"
"milp12","mlp_relu.milp.exact_radius","sweep_all","inconclusive","inconclusive","False","None","exact-rational IBP + box-BaB too loose for this near-boundary MILP instance; robustness at eps<r* rests on the exact-radius MILP (complete)"
"milp13","mlp_relu.milp.exact_radius","sweep_all","inconclusive","inconclusive","False","None","exact-rational IBP + box-BaB too loose for this near-boundary MILP instance; robustness at eps<r* rests on the exact-radius MILP (complete)"
"milp14","mlp_relu.milp.exact_radius","sweep_all","inconclusive","inconclusive","False","None","exact-rational IBP + box-BaB too loose for this near-boundary MILP instance; robustness at eps<r* rests on the exact-radius MILP (complete)"
"milp15","mlp_relu.milp.exact_radius","sweep_all","inconclusive","inconclusive","False","None","exact-rational IBP + box-BaB too loose for this near-boundary MILP instance; robustness at eps<r* rests on the exact-radius MILP (complete)"
"milp16","mlp_relu.milp.exact_radius","sweep_all","inconclusive","inconclusive","False","None","exact-rational IBP + box-BaB too loose for this near-boundary MILP instance; robustness at eps<r* rests on the exact-radius MILP (complete)"
"milp17","mlp_relu.milp.exact_radius","sweep_all","inconclusive","inconclusive","False","None","exact-rational IBP + box-BaB too loose for this near-boundary MILP instance; robustness at eps<r* rests on the exact-radius MILP (complete)"
"milp18","mlp_relu.milp.exact_radius","sweep_all","inconclusive","inconclusive","False","None","exact-rational IBP + box-BaB too loose for this near-boundary MILP instance; robustness at eps<r* rests on the exact-radius MILP (complete)"
"milp19","mlp_relu.milp.exact_radius","sweep_all","inconclusive","inconclusive","False","None","exact-rational IBP + box-BaB too loose for this near-boundary MILP instance; robustness at eps<r* rests on the exact-radius MILP (complete)"
"milp2","mlp_relu.milp.exact_radius","sweep_all","inconclusive","inconclusive","False","None","exact-rational IBP + box-BaB too loose for this near-boundary MILP instance; robustness at eps<r* rests on the exact-radius MILP (complete)"
"milp20","mlp_relu.milp.exact_radius","sweep_all","inconclusive","inconclusive","False","None","exact-rational IBP + box-BaB too loose for this near-boundary MILP instance; robustness at eps<r* rests on the exact-radius MILP (complete)"
"milp21","mlp_relu.milp.exact_radius","sweep_all","inconclusive","inconclusive","False","None","exact-rational IBP + box-BaB too loose for this near-boundary MILP instance; robustness at eps<r* rests on the exact-radius MILP (complete)"
"milp22","mlp_relu.milp.exact_radius","sweep_all","inconclusive","inconclusive","False","None","exact-rational IBP + box-BaB too loose for this near-boundary MILP instance; robustness at eps<r* rests on the exact-radius MILP (complete)"
"milp23","mlp_relu.milp.exact_radius","sweep_all","inconclusive","inconclusive","False","None","exact-rational IBP + box-BaB too loose for this near-boundary MILP instance; robustness at eps<r* rests on the exact-radius MILP (complete)"
"milp24","mlp_relu.milp.exact_radius","sweep_all","inconclusive","inconclusive","False","None","exact-rational IBP + box-BaB too loose for this near-boundary MILP instance; robustness at eps<r* rests on the exact-radius MILP (complete)"
"milp25","mlp_relu.milp.exact_radius","sweep_all","inconclusive","inconclusive","False","None","exact-rational IBP + box-BaB too loose for this near-boundary MILP instance; robustness at eps<r* rests on the exact-radius MILP (complete)"
"milp26","mlp_relu.milp.exact_radius","sweep_all","inconclusive","inconclusive","False","None","exact-rational IBP + box-BaB too loose for this near-boundary MILP instance; robustness at eps<r* rests on the exact-radius MILP (complete)"
"milp27","mlp_relu.milp.exact_radius","sweep_all","inconclusive","inconclusive","False","None","exact-rational IBP + box-BaB too loose for this near-boundary MILP instance; robustness at eps<r* rests on the exact-radius MILP (complete)"
"milp28","mlp_relu.milp.exact_radius","sweep_all","inconclusive","inconclusive","False","None","exact-rational IBP + box-BaB too loose for this near-boundary MILP instance; robustness at eps<r* rests on the exact-radius MILP (complete)"
"milp29","mlp_relu.milp.exact_radius","sweep_all","inconclusive","inconclusive","False","None","exact-rational IBP + box-BaB too loose for this near-boundary MILP instance; robustness at eps<r* rests on the exact-radius MILP (complete)"
"milp3","mlp_relu.milp.exact_radius","sweep_all","inconclusive","inconclusive","False","None","exact-rational IBP + box-BaB too loose for this near-boundary MILP instance; robustness at eps<r* rests on the exact-radius MILP (complete)"
"milp30","mlp_relu.milp.exact_radius","sweep_all","inconclusive","inconclusive","False","None","exact-rational IBP + box-BaB too loose for this near-boundary MILP instance; robustness at eps<r* rests on the exact-radius MILP (complete)"
"milp31","mlp_relu.milp.exact_radius","sweep_all","inconclusive","inconclusive","False","None","exact-rational IBP + box-BaB too loose for this near-boundary MILP instance; robustness at eps<r* rests on the exact-radius MILP (complete)"
"milp4","mlp_relu.milp.exact_radius","sweep_all","inconclusive","inconclusive","False","None","exact-rational IBP + box-BaB too loose for this near-boundary MILP instance; robustness at eps<r* rests on the exact-radius MILP (complete)"
"milp5","mlp_relu.milp.exact_radius","sweep_all","inconclusive","inconclusive","False","None","exact-rational IBP + box-BaB too loose for this near-boundary MILP instance; robustness at eps<r* rests on the exact-radius MILP (complete)"
"milp6","mlp_relu.milp.exact_radius","sweep_all","inconclusive","inconclusive","False","None","exact-rational IBP + box-BaB too loose for this near-boundary MILP instance; robustness at eps<r* rests on the exact-radius MILP (complete)"
"milp7","mlp_relu.milp.exact_radius","sweep_all","inconclusive","inconclusive","False","None","exact-rational IBP + box-BaB too loose for this near-boundary MILP instance; robustness at eps<r* rests on the exact-radius MILP (complete)"
"milp8","mlp_relu.milp.exact_radius","sweep_all","inconclusive","inconclusive","False","None","exact-rational IBP + box-BaB too loose for this near-boundary MILP instance; robustness at eps<r* rests on the exact-radius MILP (complete)"
"milp9","mlp_relu.milp.exact_radius","sweep_all","inconclusive","inconclusive","False","None","exact-rational IBP + box-BaB too loose for this near-boundary MILP instance; robustness at eps<r* rests on the exact-radius MILP (complete)"
"pb_cnn_1","cnn.cnn_paired_bias","sweep_all","exact-rational","exact_rational","True","0.10000000149011612","P=2, HW=16, lb=fc_bias[label]"
"pb_cnn_10","cnn.cnn_paired_bias","sweep_all","exact-rational","exact_rational","True","0.10000000149011612","P=32, HW=16, lb=fc_bias[label]"
"pb_cnn_11","cnn.cnn_paired_bias","sweep_all","exact-rational","exact_rational","True","1.0","P=8, HW=16, lb=fc_bias[label]"
"pb_cnn_12","cnn.cnn_paired_bias","sweep_all","exact-rational","exact_rational","True","0.5","P=8, HW=16, lb=fc_bias[label]"
"pb_cnn_13","cnn.cnn_paired_bias","sweep_all","exact-rational","exact_rational","True","0.10000000149011612","P=8, HW=16, lb=fc_bias[label]"
"pb_cnn_14","cnn.cnn_paired_bias","sweep_all","exact-rational","exact_rational","True","0.05000000074505806","P=8, HW=16, lb=fc_bias[label]"
"pb_cnn_15","cnn.cnn_paired_bias","sweep_all","exact-rational","exact_rational","True","0.0010000000474974513","P=8, HW=16, lb=fc_bias[label]"
"pb_cnn_16","cnn.cnn_paired_bias","sweep_all","exact-rational","exact_rational","True","1.0","P=8, HW=16, lb=fc_bias[label]"
"pb_cnn_17","cnn.cnn_paired_bias","sweep_all","exact-rational","exact_rational","True","0.5","P=8, HW=16, lb=fc_bias[label]"
"pb_cnn_18","cnn.cnn_paired_bias","sweep_all","exact-rational","exact_rational","True","0.10000000149011612","P=8, HW=16, lb=fc_bias[label]"
